"Rank","Program id","HLO op category","HLO op name","HLO op text","Framework op name","#Occurrences","Total time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","%time stalled by DMA","Model GFLOP/s","Normalized GFLOP/s","Measured memory BW (GiB/s)","HBM BW (GiB/s)","CMEM Read BW (GiB/s)","CMEM Write BW (GiB/s)","Operational intensity (FLOPS/Byte)","Bound by","Rematerialization","Outside Compilation","Autotuned","Source Info"
"1.0","29","call","call.310","%call.310 = (f64[], f64[], f64[], f64[], f64[], /*index=5*/f64[], f64[], f64[], f64[], f64[], /*index=10*/f64[], f64[], f64[], f64[], f64[], /*index=15*/f64[], f64[], f64[], f64[], f64[], /*index=20*/f64[], f64[], f64[], f64[], f64[], /*index=25*/f64[], f64[], f64[], f64[], pred[], /*index=30*/f64[], f64[], f64[], f64[], f64[], /*index=35*/f64[], f64[], f64[], f64[], f64[], /*index=40*/f64[], f64[1]{0}, f64[], f64[], f64[], /*index=45*/f64[], f64[], f64[], f64[], f64[], /*index=50*/f64[], f64[], f64[], f64[], f64[], /*index=55*/f64[], f64[], f64[], f64[], f64[], /*index=60*/f64[], f64[], f64[], f64[], f64[], /*index=65*/f64[], f64[], f64[], f64[], f64[], /*index=70*/f64[3,3]{1,0}) call(f64[3]{0} %get-tuple-element.6589, f64[] %get-tuple-element.6618, f64[] %get-tuple-element.6626, f64[] %get-tuple-element.6633, f64[] %get-tuple-element.6631, /*index=5*/f64[] %get-tuple-element.6630, f64[] %get-tuple-element.6629, f64[512]{0} %get-tuple-element.6623, f64[512]{0} %get-tuple-element.6622, f64[512]{0} %get-tuple-element.6621, /*index=10*/f64[] %get-tuple-element.8759, s32[] %get-tuple-element.4990.0, s64[] %get-tuple-element.6628, f64[] %get-tuple-element.6590, s64[] %get-tuple-element.6616, /*index=15*/f64[] %get-tuple-element.6627, s32[] %get-tuple-element.4994.0, f64[] %get-tuple-element.6625, f64[] %get-tuple-element.6624, f64[] %get-tuple-element.6632, /*index=20*/f64[] %get-tuple-element.6619, f64[] %get-tuple-element.6617, f64[] %get-tuple-element.6620, f64[] %get-tuple-element.6591), to_apply=%command_buffer.40","","46684.0","140288.247","3.0050605560791706","140288.247","3.0050605560791706","3.771601300429106","3.771601300429106","0.0","160.32122847753598","160.32122847753598","0.8485556818942185","0.5755178602182482","0.0","0.0","175.95872899926954","HBM","No","No","No",""
"2.0","29","call","call.311","%call.311 = (f64[3]{0}, f64[3]{0}, f64[3,1,1]{2,1,0}) call(f64[] %get-tuple-element.8853, f64[] %get-tuple-element.8861, f64[] %get-tuple-element.8887, f64[] %get-tuple-element.8880, f64[] %get-tuple-element.8878, /*index=5*/f64[] %get-tuple-element.8859, f64[1]{0} %get-tuple-element.8874, f64[] %get-tuple-element.8888, f64[] %get-tuple-element.8860, f64[3,1]{0,1} %get-tuple-element.5882.0, /*index=10*/f64[3]{0} %get-tuple-element.6589, f64[] %get-tuple-element.8891, f64[] %get-tuple-element.8858, f64[] %get-tuple-element.8846, f64[] %get-tuple-element.8849, /*index=15*/f64[] %get-tuple-element.8845, f64[] %get-tuple-element.8847, f64[] %get-tuple-element.8851, f64[] %get-tuple-element.8879, f64[] %get-tuple-element.8855, /*index=20*/f64[] %get-tuple-element.8854, f64[] %get-tuple-element.8848, f64[] %get-tuple-element.8871, f64[] %get-tuple-element.8900, f64[] %get-tuple-element.8901, /*index=25*/f64[] %get-tuple-element.8897, f64[] %get-tuple-element.8844, f64[] %get-tuple-element.8856, f64[] %get-tuple-element.8857, f64[] %get-tuple-element.8902, /*index=30*/f64[] %get-tuple-element.8899, f64[] %get-tuple-element.8895, f64[] %get-tuple-element.8896, f64[] %get-tuple-element.8835, f64[] %get-tuple-element.8836, /*index=35*/f64[] %get-tuple-element.8898, f64[] %get-tuple-element.8886, f64[] %get-tuple-element.8875, f64[] %get-tuple-element.8881, pred[] %get-tuple-element.8862, /*index=40*/f64[] %get-tuple-element.8864, f64[] %get-tuple-element.8876, f64[] %get-tuple-element.8883, f64[] %get-tuple-element.8833, f64[] %get-tuple-element.8843, /*index=45*/f64[] %get-tuple-element.8838, f64[] %get-tuple-element.8882, f64[] %get-tuple-element.8892, f64[] %get-tuple-element.8893, f64[] %get-tuple-element.8894, /*index=50*/f64[] %get-tuple-element.8884, f64[] %get-tuple-element.8877, f64[] %get-tuple-element.8837, f64[] %get-tuple-element.8834, f64[] %get-tuple-element.8839, /*index=55*/f64[] %get-tuple-element.8869, f64[] %get-tuple-element.8890, f64[] %get-tuple-element.8842, f64[] %get-tuple-element.8841, f64[] %get-tuple-element.6620, /*index=60*/f64[] %get-tuple-element.8852, f64[] %get-tuple-element.8873, f64[] %get-tuple-element.8866, f64[] %get-tuple-element.8865, f64[] %get-tuple-element.6590, /*index=65*/s64[] %get-tuple-element.6616, f64[] %get-tuple-element.8868, f64[] %get-tuple-element.8885, f64[] %get-tuple-element.8867, f64[] %get-tuple-element.8872, /*index=70*/f64[3,1]{0,1} %get-tuple-element.5880.0, f64[] %get-tuple-element.8863, f64[] %get-tuple-element.8850, f64[] %get-tuple-element.8870, f64[3]{0} %input_concatenate_fusion.2, /*index=75*/s32[3]{0} %custom-call.32, f64[] %get-tuple-element.8889, f64[] %get-tuple-element.6591), to_apply=%command_buffer.42","","12732.0","66368.381","5.212722353125981","66368.381","5.212722353125981","1.7842911109080601","5.555892411337166","0.0","41.48465721952747","41.48465721952747","0.2152893682777217","0.19527907014734425","0.0","0.0","179.4589211618257","HBM","No","No","No",""
"3.0","29","loop fusion","loop_gather_fusion.2","%loop_gather_fusion.2 = f64[3,1,1]{2,1,0} fusion(f64[3]{0} %input_concatenate_fusion.2, f64[] %get-tuple-element.8889, f64[] %get-tuple-element.8851, f64[] %get-tuple-element.8863, f64[] %get-tuple-element.8847, /*index=5*/s32[3]{0} %custom-call.32, f64[] %get-tuple-element.8850, f64[] %get-tuple-element.6620, f64[] %get-tuple-element.8852, f64[] %get-tuple-element.6590, /*index=10*/s64[] %get-tuple-element.6616, f64[] %get-tuple-element.8870, f64[3]{0} %get-tuple-element.6589, f64[3,1]{0,1} %get-tuple-element.5880.0, f64[] %get-tuple-element.6591), kind=kLoop, calls=%fused_gather.2","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/jit(_lu_solve)/gather:","2122.0","45806.065","21.586270028275212","45806.065","21.586270028275212","1.2314803129697682","6.787372724306934","0.0","7.196101957240815","7.196101957240815","0.008456265227180567","0.008456265227180567","0.0","0.0","792.5357142857143","Compute","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:904:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:189</div>"
"4.0","29","call","call.318","%call.318 = (f64[], f64[6]{0}, f64[], f64[], f64[], /*index=5*/f64[], f64[], f64[6]{0}, s64[], f64[], /*index=10*/f64[6]{0}, s64[], f64[], f64[6]{0}, s64[], /*index=15*/f64[], f64[6]{0}, s64[], f64[], f64[6]{0}, /*index=20*/s64[], f64[], f64[6]{0}) call(f64[1023,2]{1,0} %get-tuple-element.7153, s64[] %get-tuple-element.7133, f64[] %get-tuple-element.7159, f64[] %get-tuple-element.7166, f64[] %get-tuple-element.7158, /*index=5*/f64[] %get-tuple-element.7157, f64[] %get-tuple-element.7165, f64[512]{0} %get-tuple-element.7156, f64[512]{0} %get-tuple-element.7155, f64[512]{0} %get-tuple-element.7154, /*index=10*/s32[] %get-tuple-element.496.0, f64[] %get-tuple-element.6420, s64[] %get-tuple-element.7161, f64[] %get-tuple-element.7162, f64[] %get-tuple-element.7163, /*index=15*/f64[] %get-tuple-element.7164, f64[] %get-tuple-element.7160, f64[] %get-tuple-element.6435, s32[] %get-tuple-element.495.0, f64[] %get-tuple-element.6450, /*index=20*/s32[] %get-tuple-element.494.0, f64[] %get-tuple-element.8931, f64[] %get-tuple-element.8924, f64[] %get-tuple-element.8938, f64[] %get-tuple-element.8945, /*index=25*/f64[] %get-tuple-element.8917, s64[] %get-tuple-element.8912), to_apply=%command_buffer.56","","19437.0","22478.545","1.1564822246231414","22478.545","1.1564822246231414","0.604327955953104","7.391700680260039","0.0","49.58139327968069","49.58139327968069","1.156420037137738","0.6796786290698126","0.0","0.0","39.930362116991645","HBM","No","No","No",""
"5.0","29","input fusion","input_concatenate_fusion.3","%input_concatenate_fusion.3 = f64[6]{0} fusion(f64[3]{0} %get-tuple-element.387.0, f64[] %get-tuple-element.3882.0, f64[] %get-tuple-element.6571, f64[] %get-tuple-element.6574, f64[] %loop_divide_fusion.14, /*index=5*/f64[] %get-tuple-element.6573, f64[] %get-tuple-element.6572), kind=kInput, calls=%fused_concatenate.5","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(append)/concatenate:","877.0","21288.377","24.27409007981756","21288.377","24.27409007981756","0.5723306983601062","7.964031378620144","0.0","7.46763315963448","7.46763315963448","0.0046040328838846175","0.0046040328838846175","0.0","0.0","1510.5833333333333","Compute","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:300:9
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:431:14
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:445:16
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:442:14
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:439:14
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:451:12
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:460:11
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:300</div>"
"6.0","29","loop fusion","loop_select_fusion.38","%loop_select_fusion.38 = (s32[], s32[]) fusion(s32[] %get-tuple-element.6555, s32[] %get-tuple-element.6554, f64[512]{0} %get-tuple-element.6561, f64[] %get-tuple-element.6562), kind=kLoop, calls=%fused_select.38","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/jit(_where)/select_n:","21220.0","21098.56","0.9942770970782282","21098.56","0.9942770970782282","0.5672275335593973","8.531258912179542","0.0","0.09655256093306842","0.09655256093306842","0.029973859877967714","0.029973859877967714","0.0","0.0","3.0","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"7.0","29","loop fusion","loop_select_fusion.11","%loop_select_fusion.11 = (s32[], s32[]) fusion(s32[] %get-tuple-element.6540, s32[] %get-tuple-element.6539, f64[512]{0} %get-tuple-element.6547, f64[] %get-tuple-element.6546), kind=kLoop, calls=%fused_select.11","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp(jit(searchsorted))/while/body/jit(_where)/select_n:","21220.0","20585.245","0.970086946277097","20585.245","0.970086946277097","0.5534272362220889","9.08468614840163","0.0","0.08659017660465057","0.08659017660465057","0.03072128998546748","0.03072128998546748","0.0","0.0","2.625","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"8.0","29","custom-call","custom-call.31","%custom-call.31 = (f64[3,3]{0,1}, s32[3]{0}, s32[]) custom-call(f64[3,3]{0,1} %bitcast.1029.0), custom_call_target=""cusolver_getrf_ffi"", operand_layout_constraints={f64[3,3]{0,1}}, output_to_operand_aliasing={{0}: (0, {})}, api_version=API_VERSION_TYPED_FFI, frontend_attributes={num_batch_dims=""0""}","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_factor)/lu:","12732.0","17546.313","1.378127002827521","17546.313","1.378127002827521","0.47172659395006994","9.5564127423517","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:185:21
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:904:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:185</div>"
"9.0","29","loop fusion","loop_add_fusion.11","%loop_add_fusion.11 = s64[] fusion(s64[] %get-tuple-element.6538), kind=kLoop, calls=%fused_add.11","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp(jit(searchsorted))/while/body/add:","21220.0","17429.077","0.8213514137606033","17429.077","0.8213514137606033","0.46857474438667","10.02498748673837","0.0","0.0036525169978880697","0.0036525169978880697","0.018142248182932877","0.018142248182932877","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:111:20
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:150:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_term.py:194:14
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:170:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:200:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1103:4
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"10.0","29","loop fusion","loop_add_fusion.40","%loop_add_fusion.40 = s64[] fusion(s64[] %get-tuple-element.6553), kind=kLoop, calls=%fused_add.40","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(searchsorted)/while/body/add:","21220.0","17395.086","0.819749575871819","17395.086","0.819749575871819","0.46766090803512667","10.492648394773497","0.0","0.0036596542264867218","0.0036596542264867218","0.01817769918087483","0.01817769918087483","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:111:20
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:150:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_term.py:194:14
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:170:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:200:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1103:4
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"11.0","29","data formatting","copy.196","%copy.196 = s32[] copy(s32[] %get-tuple-element.6544)","","21220.0","17126.71","0.8071022620169651","17126.71","0.8071022620169651","0.4604457115218794","10.953094106295376","0.0","0.0","0.0","0.009231272104608744","0.009231272104608744","0.0","0.0","0.0","HBM","No","No","No",""
"12.0","29","data formatting","copy.205","%copy.205 = s32[] copy(s32[] %get-tuple-element.6559)","","21220.0","17053.144","0.803635438265787","17053.144","0.803635438265787","0.4584679148981368","11.411562021193513","0.0","0.0","0.0","0.009271095128659186","0.009271095128659186","0.0","0.0","0.0","HBM","No","No","No",""
"13.0","29","data formatting","copy.197","%copy.197 = s32[] copy(s32[] %get-tuple-element.6545)","","21220.0","17043.191","0.8031663996229971","17043.191","0.8031663996229971","0.45820033191420256","11.869762353107713","0.0","0.0","0.0","0.009276509326611644","0.009276509326611644","0.0","0.0","0.0","HBM","No","No","No",""
"14.0","29","data formatting","copy.206","%copy.206 = s32[] copy(s32[] %get-tuple-element.6560)","","21220.0","17039.181","0.8029774269557022","17039.181","0.8029774269557022","0.45809252444252807","12.327854877550243","0.0","0.0","0.0","0.00927869245985025","0.00927869245985025","0.0","0.0","0.0","HBM","No","No","No",""
"15.0","29","call","call.309","%call.309 = (s64[], f64[], f64[], s64[], s64[], /*index=5*/s32[], s32[], s32[], s32[]) call(s64[] %get-tuple-element.6588, f64[] %get-tuple-element.6590, s64[] %get-tuple-element.6616, s64[] %constant_7432_0, s32[] %constant_7426_0, /*index=5*/s32[] %constant_7425_0), to_apply=%command_buffer.38","","16976.0","13989.032","0.8240475966069745","13989.032","0.8240475966069745","0.37609031698103956","12.703945194531283","0.0","0.8773765046788083","0.8773765046788083","0.20795322313278822","0.10849733380841126","0.0","0.0","3.9293478260869565","HBM","No","No","No",""
"16.0","29","loop fusion","loop_add_divide_fusion","%loop_add_divide_fusion = (f64[], s64[]) fusion(f64[] %get-tuple-element.6466, f64[6]{0} %get-tuple-element.6472, s64[] %copy.110), kind=kLoop, calls=%fused_add_divide","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","6138.0","13638.798","2.222026392961877","13638.798","2.222026392961877","0.3666743962741931","13.070619590805476","0.0","3.521110291390781","3.521110291390781","0.016765283752981183","0.016765283752981183","0.0","0.0","195.6","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65:11
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:142:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:150:23
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:484:15
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:497:19
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65</div>"
"17.0","29","loop fusion","loop_add_divide_fusion.1","%loop_add_divide_fusion.1 = (f64[], s64[]) fusion(f64[] %get-tuple-element.6478, f64[6]{0} %get-tuple-element.6484, s64[] %copy.119), kind=kLoop, calls=%fused_add_divide.1","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","6138.0","13515.705","2.2019721407624635","13515.705","2.2019721407624635","0.3633650832789732","13.433984674084451","0.0","3.5531784690476744","3.5531784690476744","0.016917971982933357","0.016917971982933357","0.0","0.0","195.6","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65:11
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:142:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:150:23
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:484:15
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:497:19
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65</div>"
"18.0","29","loop fusion","loop_add_divide_fusion.2","%loop_add_divide_fusion.2 = (f64[], s64[]) fusion(f64[] %get-tuple-element.6490, f64[6]{0} %get-tuple-element.6496, s64[] %copy.128), kind=kLoop, calls=%fused_add_divide.2","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","6138.0","13499.638","2.199354512870642","13499.638","2.199354512870642","0.36293312750655565","13.796917801591007","0.0","3.5574073912204165","3.5574073912204165","0.01693810741588717","0.01693810741588717","0.0","0.0","195.6","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65:11
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:142:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:150:23
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:484:15
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:497:19
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65</div>"
"19.0","29","loop fusion","loop_add_divide_fusion.3","%loop_add_divide_fusion.3 = (f64[], s64[]) fusion(f64[] %get-tuple-element.6502, f64[6]{0} %get-tuple-element.6508, s64[] %copy.137), kind=kLoop, calls=%fused_add_divide.3","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","6138.0","13496.971","2.1989200065167807","13496.971","2.1989200065167807","0.3628614261282624","14.159779227719271","0.0","3.558110334533578","3.558110334533578","0.01694145438406827","0.01694145438406827","0.0","0.0","195.6","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65:11
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:142:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:150:23
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:484:15
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:497:19
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65</div>"
"20.0","29","loop fusion","loop_add_divide_fusion.4","%loop_add_divide_fusion.4 = (f64[], s64[]) fusion(f64[] %get-tuple-element.6514, f64[6]{0} %get-tuple-element.6520, s64[] %copy.146), kind=kLoop, calls=%fused_add_divide.4","jit(evolve_background)/jit(main)/jit(evaluate_thermo)/while/body/while/body/div:","6138.0","13492.425","2.198179374389052","13492.425","2.198179374389052","0.36273920848082286","14.522518436200095","0.0","3.5593091679220006","3.5593091679220006","0.016947162464834326","0.016947162464834326","0.0","0.0","195.6","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65:11
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:142:12
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:150:23
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:484:15
/home/lawrence/git/DISCO-EB/src/discoeb/thermodynamics_recfast.py:497:19
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:237:82
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/jax_cosmo/scipy/integrate.py:65</div>"
