"Rank","Program id","HLO op category","HLO op name","HLO op text","Framework op name","#Occurrences","Total time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","%time stalled by DMA","Model GFLOP/s","Normalized GFLOP/s","Measured memory BW (GiB/s)","HBM BW (GiB/s)","CMEM Read BW (GiB/s)","CMEM Write BW (GiB/s)","Operational intensity (FLOPS/Byte)","Bound by","Rematerialization","Outside Compilation","Autotuned","Source Info"
"1.0","7","call","call.594","%call.594 = f64[2501]{0} call(f64[8192]{0} %get-tuple-element.17819, c128[8193]{0} %get-tuple-element.17899, c128[8192,8193]{1,0} %fft.1.0, f64[8193]{0} %get-tuple-element.17897, f64[8193]{0} %get-tuple-element.17896, /*index=5*/f64[] %Arg_12.13, f64[] %Arg_10.11, c128[8193]{0} %get-tuple-element.17898, f64[2501]{0} %get-tuple-element.17335, f64[2501]{0} %get-tuple-element.17336, /*index=10*/c128[8]{0} %constant_22107_0, f64[8]{0} %constant_21972_0, c128[8193]{0} %get-tuple-element.17895, f64[8191]{0} %get-tuple-element.17820), to_apply=%command_buffer.54","","13.0","2748061.138","211389.3183076923","2748061.138","211389.3183076923","35.703457193706456","35.703457193706456","0.0","29628.716841044312","29628.716841044312","44.530061750241565","44.53014626961281","0.0","0.0","619.6688656243484","Compute","No","No","No",""
"2.0","7","custom-call","custom-call.10","%custom-call.10 = (f64[8,16,72,72]{2,3,1,0}, s32[8,16,72]{2,1,0}, s32[8,16]{1,0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13129.0), custom_call_target=""cusolver_getrf_ffi"", operand_layout_constraints={f64[8,16,72,72]{2,3,1,0}}, output_to_operand_aliasing={{0}: (0, {})}, api_version=API_VERSION_TYPED_FFI, frontend_attributes={num_batch_dims=""2""}","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_factor))/lu:","1174.0","561094.312","477.9338262350937","561094.312","477.9338262350937","7.289869382128781","42.99332657583524","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:996:22
/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1002:21
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:996</div>"
"3.0","7","call","call.629","%call.629 = (s64[], f64[3]{0}, (f64[], f64[])) call(s64[] %get-tuple-element.14591, f64[] %get-tuple-element.14593, s64[] %get-tuple-element.14621, f64[] %get-tuple-element.14594, f64[] %get-tuple-element.14627, /*index=5*/f64[] %get-tuple-element.14626, f64[] %get-tuple-element.14625, f64[] %get-tuple-element.14622, f64[3]{0} %get-tuple-element.14592, f64[] %get-tuple-element.14623, /*index=10*/f64[] %get-tuple-element.14624, f64[] %get-tuple-element.14633, f64[] %get-tuple-element.14640, f64[] %get-tuple-element.14632, f64[] %get-tuple-element.14631, /*index=15*/f64[] %get-tuple-element.14639, f64[] %get-tuple-element.14638, f64[] %get-tuple-element.14637, f64[] %get-tuple-element.14636, f64[512]{0} %get-tuple-element.14630, /*index=20*/f64[512]{0} %get-tuple-element.14629, f64[512]{0} %get-tuple-element.14628, s64[] %get-tuple-element.14635, f64[] %get-tuple-element.14634, f64[] %get-tuple-element.14620), to_apply=%command_buffer.122","","112466.0","335485.062","2.982990966158661","335485.062","2.982990966158661","4.3587008981038755","47.35202747393911","0.0","348.9541241690219","348.9541241690219","2.2647785504226525","1.496739505200744","0.0","0.0","143.4969671905156","HBM","No","No","No",""
"4.0","7","call","call.630","%call.630 = (s64[], pred[8]{0}, pred[8]{0}, pred[8]{0}, s64[8]{0}, /*index=5*/s64[8]{0}, f64[8,320]{1,0}, f64[8,320,16,72]{3,2,1,0}) call(s64[] %get-tuple-element.14846, pred[8]{0} %get-tuple-element.14847, pred[8]{0} %get-tuple-element.14850, pred[8]{0} %get-tuple-element.14852, s64[8]{0} %get-tuple-element.14848, /*index=5*/s64[8]{0} %get-tuple-element.14853, f64[8,320]{1,0} %get-tuple-element.14849, f64[8,320,16,72]{3,2,1,0} %get-tuple-element.14851), to_apply=%command_buffer.124","","72120.0","306435.788","4.248970992789795","306435.788","4.248970992789795","3.9812858921473198","51.33331336608643","0.0","0.0","0.0","10351.639767643117","5175.812869812182","0.0","0.0","0.0","HBM","No","No","No",""
"5.0","7","call","call.620","%call.620 = (s64[], pred[8]{0}, pred[8]{0}, pred[8]{0}, s64[8]{0}, /*index=5*/s64[8]{0}, f64[8,320]{1,0}, f64[8,320,16,72]{3,2,1,0}) call(s64[] %get-tuple-element.14893, pred[8]{0} %get-tuple-element.14894, pred[8]{0} %get-tuple-element.14897, pred[8]{0} %get-tuple-element.14899, s64[8]{0} %get-tuple-element.14895, /*index=5*/s64[8]{0} %get-tuple-element.14900, f64[8,320]{1,0} %get-tuple-element.14896, f64[8,320,16,72]{3,2,1,0} %get-tuple-element.14898), to_apply=%command_buffer.104","","75136.0","301824.714","4.017045277896082","301824.714","4.017045277896082","3.9213777333005226","55.25469109938695","0.0","0.0","0.0","10949.295827594286","5474.640494831131","0.0","0.0","0.0","HBM","No","No","No",""
"6.0","7","call","call.622","%call.622 = (s64[], pred[8]{0}, pred[8]{0}, pred[8]{0}, s64[8]{0}, /*index=5*/s64[8]{0}, f64[8,320]{1,0}, f64[8,320,16,72]{3,2,1,0}) call(s64[] %get-tuple-element.14832, pred[8]{0} %get-tuple-element.14833, pred[8]{0} %get-tuple-element.14836, pred[8]{0} %get-tuple-element.14838, s64[8]{0} %get-tuple-element.14834, /*index=5*/s64[8]{0} %get-tuple-element.14839, f64[8,320]{1,0} %get-tuple-element.14835, f64[8,320,16,72]{3,2,1,0} %get-tuple-element.14837), to_apply=%command_buffer.108","","48256.0","195160.698","4.044278390251989","195160.698","4.044278390251989","2.535573728904744","57.79026482829169","0.0","0.0","0.0","10875.566134749783","5437.775698366255","0.0","0.0","0.0","HBM","No","No","No",""
"7.0","7","call","call.631","%call.631 = (s64[], pred[8]{0}, pred[8]{0}, pred[8]{0}, s64[8]{0}, /*index=5*/s64[8]{0}, f64[8,320]{1,0}, f64[8,320,16,72]{3,2,1,0}) call(s64[] %get-tuple-element.14785, pred[8]{0} %get-tuple-element.14786, pred[8]{0} %get-tuple-element.14789, pred[8]{0} %get-tuple-element.14791, s64[8]{0} %get-tuple-element.14787, /*index=5*/s64[8]{0} %get-tuple-element.14792, f64[8,320]{1,0} %get-tuple-element.14788, f64[8,320,16,72]{3,2,1,0} %get-tuple-element.14790), to_apply=%command_buffer.126","","45208.0","191667.369","4.239678132188994","191667.369","4.239678132188994","2.4901875762131755","60.28045240450487","0.0","0.0","0.0","10374.329307356065","5187.157624294798","0.0","0.0","0.0","HBM","No","No","No",""
"8.0","7","call","call.604","%call.604 = (f64[72,8,16]{2,1,0}, f64[72,1,8,16]{3,2,1,0}, f64[128,72,72]{2,1,0}) call(f64[72,8,16]{2,1,0} %loop_dynamic_update_slice_fusion.206, f64[8,16]{1,0} %get-tuple-element.18108, f64[8,16,72]{1,0,2} %get-tuple-element.13554.0, f64[8,16]{1,0} %get-tuple-element.18112, f64[8,16]{1,0} %get-tuple-element.18118, /*index=5*/f64[8,16]{1,0} %get-tuple-element.18116, f64[8,16]{1,0} %get-tuple-element.18110, f64[1024]{0} %get-tuple-element.23439.0, f64[1024]{0} %get-tuple-element.23441.0, f64[8,16]{1,0} %get-tuple-element.18117, /*index=10*/f64[1024]{0} %get-tuple-element.23440.0, s64[8,16]{1,0} %get-tuple-element.18090, f64[8,16]{1,0} %get-tuple-element.18109, f64[8,16]{1,0} %get-tuple-element.23438.0, f64[8,16]{1,0} %get-tuple-element.18106, /*index=15*/s64[8]{0} %get-tuple-element.23471.0, f64[8]{0} %get-tuple-element.14874, s64[8]{0} %get-tuple-element.23431.0, f64[8,16,11]{2,1,0} %get-tuple-element.18091, s64[8]{0} %get-tuple-element.23472.0, /*index=20*/f64[72,1,8,16]{3,2,1,0} %get-tuple-element.18134, u32[72]{0} %get-tuple-element.18085, u32[72]{0} %get-tuple-element.18084, s64[8]{0} %get-tuple-element.23435.0, f64[8,16,72]{2,1,0} %get-tuple-element.18133, /*index=25*/f64[8,16,8]{2,1,0} %get-tuple-element.18092, s64[8]{0} %get-tuple-element.23465.0, u32[72]{0} %get-tuple-element.18086, f64[8,16,8]{2,1,0} %get-tuple-element.18093, s64[8]{0} %get-tuple-element.23466.0, /*index=30*/u32[72]{0} %get-tuple-element.18088, u32[72]{0} %get-tuple-element.18087, f64[8,16,72]{2,1,0} %get-tuple-element.18132, f64[8,16]{1,0} %get-tuple-element.18121, f64[8,16,72]{2,1,0} %get-tuple-element.18129, /*index=35*/f64[8,16,72]{2,1,0} %get-tuple-element.18130, f64[128,3]{1,0} %get-tuple-element.18103, f64[128,3]{1,0} %get-tuple-element.18102, f64[128,3]{1,0} %get-tuple-element.18094, f64[72,3]{1,0} %get-tuple-element.18089, /*index=40*/f64[128,3]{1,0} %get-tuple-element.18099, f64[128,3]{1,0} %get-tuple-element.18100, f64[8,16]{1,0} %get-tuple-element.18104, f64[8,16]{1,0} %get-tuple-element.18115, f64[8,16]{1,0} %get-tuple-element.18114, /*index=45*/f64[8,16]{1,0} %get-tuple-element.18119, f64[8,16]{1,0} %get-tuple-element.18120, f64[8,16,72]{2,1,0} %get-tuple-element.18131, f64[8,16]{1,0} %get-tuple-element.18113, f64[8,16]{1,0} %get-tuple-element.18105, /*index=50*/f64[8,16]{1,0} %get-tuple-element.18111, f64[] %get-tuple-element.23446.0, f64[] %get-tuple-element.23447.0, f64[3]{0} %get-tuple-element.18072, f64[8,16]{1,0} %get-tuple-element.18107, /*index=55*/f64[] %get-tuple-element.23445.0, f64[] %get-tuple-element.23437.0, f64[3,8,16]{2,1,0} %get-tuple-element.18101, f64[] %get-tuple-element.23457.0, f64[] %get-tuple-element.23456.0, /*index=60*/s64[] %get-tuple-element.23455.0, f64[] %get-tuple-element.23449.0, f64[] %get-tuple-element.23464.0, f64[8,72,72]{2,1,0} %get-tuple-element.18128, f64[5,3,8,16]{3,2,1,0} %get-tuple-element.18122, /*index=65*/f64[15,8,16]{2,1,0} %get-tuple-element.18123, f64[3,8,16]{2,1,0} %get-tuple-element.18098, f64[3,8,16]{2,1,0} %get-tuple-element.18097, f64[3,8,16]{2,1,0} %get-tuple-element.18095, f64[3,72]{1,0} %get-tuple-element.18127, /*index=70*/f64[3,8,72]{2,1,0} %get-tuple-element.18126, f64[3]{0} %get-tuple-element.18124, f64[72,15]{1,0} %get-tuple-element.18125, f64[3]{0} %get-tuple-element.23467.0, f64[3,8,16]{2,1,0} %get-tuple-element.18096, /*index=75*/s64[5]{0} %get-tuple-element.23468.0), to_apply=%command_buffer.72","","17610.0","134884.703","7.65955156161272","134884.703","7.65955156161272","1.7524538130003968","62.03290621750527","0.0","138596.2203479812","138596.2203479812","8921.010007467648","4206.355781517102","0.0","0.0","14.468965807504626","HBM","No","No","No",""
"9.0","7","call","call.603","%call.603 = (s64[], s64[], s64[], pred[8]{0}, pred[8]{0}, /*index=5*/f64[3]{0}, f64[3]{0}, f64[3]{0}, f64[3]{0}, f64[3]{0}, /*index=10*/f64[3]{0}, f64[3]{0}, f64[3]{0}, s64[8]{0}, s64[8]{0}, /*index=15*/f64[8]{0}, f64[8]{0}, u32[72]{0}, u32[72]{0}, u32[72]{0}, /*index=20*/u32[72]{0}, u32[72]{0}, f64[72,3]{1,0}, s64[8,16]{1,0}, f64[8,16,11]{2,1,0}, /*index=25*/f64[8,16,8]{2,1,0}, f64[8,16,8]{2,1,0}, f64[128,3]{1,0}, f64[3,8,16]{2,1,0}, f64[3,8,16]{2,1,0}, /*index=30*/f64[3,8,16]{2,1,0}, f64[3,8,16]{2,1,0}, f64[128,3]{1,0}, f64[128,3]{1,0}, f64[3,8,16]{2,1,0}, /*index=35*/f64[128,3]{1,0}, f64[128,3]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, /*index=40*/f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, /*index=45*/f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, /*index=50*/f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, f64[8,16]{1,0}, /*index=55*/f64[5,3,8,16]{3,2,1,0}, f64[15,8,16]{2,1,0}, f64[3]{0}, f64[72,15]{1,0}, f64[3,8,72]{2,1,0}, /*index=60*/f64[3,72]{1,0}, f64[8,72,72]{2,1,0}, f64[8,16,72]{2,1,0}, f64[8,16,72]{2,1,0}, f64[8,16,72]{2,1,0}, /*index=65*/f64[8,16,72]{2,1,0}, f64[8,16,72]{2,1,0}, f64[72,1,8,16]{3,2,1,0}, f64[8,16,72]{2,1,0}, f64[72,8,16]{2,1,0}) call(s64[] %constant_23559_0, s64[] %get-tuple-element.23533.0, pred[8]{0} %get-tuple-element.14869, f64[3]{0} %get-tuple-element.23462.0, f64[3]{0} %get-tuple-element.23461.0, /*index=5*/f64[3]{0} %get-tuple-element.23470.0, f64[3]{0} %get-tuple-element.23469.0, f64[3]{0} %get-tuple-element.23476.0, f64[3]{0} %get-tuple-element.23475.0, f64[3]{0} %get-tuple-element.23482.0, /*index=10*/f64[3]{0} %get-tuple-element.23481.0, f64[3]{0} %get-tuple-element.23488.0, f64[3]{0} %get-tuple-element.23487.0, f64[3]{0} %get-tuple-element.23494.0, f64[3]{0} %get-tuple-element.23493.0, /*index=15*/f64[3]{0} %get-tuple-element.23500.0, f64[3]{0} %get-tuple-element.23499.0, f64[3]{0} %get-tuple-element.23506.0, f64[3]{0} %get-tuple-element.23505.0, f64[3]{0} %get-tuple-element.23512.0, /*index=20*/f64[3]{0} %get-tuple-element.23511.0, s64[8]{0} %get-tuple-element.14870, s64[8]{0} %get-tuple-element.14865, s64[8]{0} %get-tuple-element.23431.0, f64[8]{0} %get-tuple-element.14874, /*index=25*/f64[8]{0} %get-tuple-element.14872, s64[8]{0} %get-tuple-element.23435.0, s64[8]{0} %get-tuple-element.23465.0, s64[8]{0} %get-tuple-element.23466.0, f64[8,16,72]{1,0,2} %get-tuple-element.13554.0, /*index=30*/f64[] %get-tuple-element.23463.0, f64[1024]{0} %get-tuple-element.23442.0, f64[1024]{0} %get-tuple-element.23439.0, f64[8,16]{1,0} %get-tuple-element.23438.0, f64[3]{0} %get-tuple-element.23467.0, /*index=35*/f64[] %get-tuple-element.23464.0, f64[] %get-tuple-element.23447.0, f64[] %get-tuple-element.23449.0, f64[] %get-tuple-element.23445.0, f64[] %get-tuple-element.23457.0, /*index=40*/s64[] %get-tuple-element.23455.0, f64[] %get-tuple-element.23456.0, f64[] %get-tuple-element.23446.0, f64[] %get-tuple-element.23437.0, f64[] %get-tuple-element.23436.0, /*index=45*/f64[] %get-tuple-element.23448.0, f64[] %get-tuple-element.23458.0, f64[512]{0} %get-tuple-element.23452.0, f64[512]{0} %get-tuple-element.23454.0, f64[512]{0} %get-tuple-element.23453.0, /*index=50*/f64[] %get-tuple-element.23451.0, f64[] %get-tuple-element.23450.0, f64[] %get-tuple-element.23460.0, f64[] %get-tuple-element.23459.0, f64[1024]{0} %get-tuple-element.23444.0, /*index=55*/f64[1024]{0} %get-tuple-element.23443.0, s64[5]{0} %get-tuple-element.23468.0), to_apply=%command_buffer.70","","22306.0","104223.363","4.672436250336232","104223.363","4.672436250336232","1.354094466094309","63.38700068359958","0.0","100936.82154915688","100936.82154915688","269.2849577594492","271.71031628351795","0.0","0.0","349.0902028127313","Compute","No","No","No",""
"10.0","7","custom-call","triangular-solve.47","%triangular-solve.47 = (f64[8,16,72,1]{2,3,1,0}, s8[2048]{0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13725.0, f64[8,16,72,1]{2,3,1,0} %get-tuple-element.13564.0), custom_call_target=""__cublas$triangularSolve""","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","62041.881","13.21164416524702","62041.881","13.21164416524702","0.8060627225028391","64.19306340610243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
"11.0","7","custom-call","triangular-solve.49","%triangular-solve.49 = (f64[8,16,72,1]{2,3,1,0}, s8[2048]{0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13725.0, f64[8,16,72,1]{2,3,1,0} %get-tuple-element.13566.0), custom_call_target=""__cublas$triangularSolve""","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","61873.37","13.175760221465078","61873.37","13.175760221465078","0.8038733879236429","64.99693679402607","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
"12.0","7","custom-call","triangular-solve.53","%triangular-solve.53 = (f64[8,16,72,1]{2,3,1,0}, s8[2048]{0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13725.0, f64[8,16,72,1]{2,3,1,0} %get-tuple-element.13570.0), custom_call_target=""__cublas$triangularSolve""","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","61870.068","13.175057069846678","61870.068","13.175057069846678","0.8038304875623579","65.80076728158843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
"13.0","7","custom-call","triangular-solve.55","%triangular-solve.55 = (f64[8,16,72,1]{2,3,1,0}, s8[2048]{0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13725.0, f64[8,16,72,1]{2,3,1,0} %get-tuple-element.13572.0), custom_call_target=""__cublas$triangularSolve""","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","61869.02","13.174833901192503","61869.02","13.174833901192503","0.8038168716996604","66.60458415328809","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
"14.0","7","custom-call","triangular-solve.51","%triangular-solve.51 = (f64[8,16,72,1]{2,3,1,0}, s8[2048]{0}) custom-call(f64[8,16,72,72]{2,3,1,0} %bitcast.13725.0, f64[8,16,72,1]{2,3,1,0} %get-tuple-element.13568.0), custom_call_target=""__cublas$triangularSolve""","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/triangular_solve:","4696.0","61864.867","13.173949531516184","61864.867","13.173949531516184","0.8037629149460515","67.40834706823414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008:13
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:349:64
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_eval_shape.py:38:30
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:619:36
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_adjoint.py:393:22
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_module/_prebuilt.py:33:15
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/diffrax/_integrate.py:1416:29
/home/lawrence/git/DISCO-EB/.venv/lib/python3.13/site-packages/equinox/_jit.py:55:14
'>/home/lawrence/git/DISCO-EB/src/discoeb/ode_integrators_stiff.py:1008</div>"
